pdf	pdf_seite	schnitt_x	breite	talbreite	erkannt
Dickhoff_Essener Straßen_2015_1.pdf	75	1973	3821	128	ja
Dickhoff_Essener Straßen_2015_1.pdf	76	1917	3821	232	ja
Dickhoff_Essener Straßen_2015_1.pdf	77	1976	3846	114	ja
Dickhoff_Essener Straßen_2015_1.pdf	78	1974	3830	103	ja
Dickhoff_Essener Straßen_2015_1.pdf	79	1950	3792	107	ja
Dickhoff_Essener Straßen_2015_1.pdf	80	1851	3784	74	ja
Dickhoff_Essener Straßen_2015_1.pdf	81	1966	3838	81	ja
Dickhoff_Essener Straßen_2015_1.pdf	82	1974	3830	88	ja
Dickhoff_Essener Straßen_2015_1.pdf	83	1966	3830	91	ja
Dickhoff_Essener Straßen_2015_1.pdf	84	1967	3830	94	ja
Dickhoff_Essener Straßen_2015_1.pdf	85	1980	3821	105	ja
Dickhoff_Essener Straßen_2015_1.pdf	86	1959	3805	101	ja
Dickhoff_Essener Straßen_2015_1.pdf	87	1960	3813	103	ja
Dickhoff_Essener Straßen_2015_1.pdf	88	1971	3830	114	ja
Dickhoff_Essener Straßen_2015_1.pdf	89	1903	3813	232	ja
Dickhoff_Essener Straßen_2015_1.pdf	90	1899	3800	213	ja
Dickhoff_Essener Straßen_2015_1.pdf	91	1913	3813	213	ja
Dickhoff_Essener Straßen_2015_1.pdf	92	1954	3800	123	ja
Dickhoff_Essener Straßen_2015_1.pdf	93	1957	3800	114	ja
Dickhoff_Essener Straßen_2015_1.pdf	94	1957	3805	113	ja
Dickhoff_Essener Straßen_2015_1.pdf	95	1967	3805	120	ja
Dickhoff_Essener Straßen_2015_1.pdf	96	1874	3750	149	ja
Dickhoff_Essener Straßen_2015_1.pdf	97	1943	3800	103	ja
Dickhoff_Essener Straßen_2015_1.pdf	98	1949	3813	100	ja
Dickhoff_Essener Straßen_2015_1.pdf	99	1948	3813	102	ja
Dickhoff_Essener Straßen_2015_1.pdf	100	1947	3800	116	ja
Dickhoff_Essener Straßen_2015_2.pdf	1	1942	3792	119	ja
Dickhoff_Essener Straßen_2015_2.pdf	2	1974	3821	118	ja
Dickhoff_Essener Straßen_2015_2.pdf	3	1968	3805	120	ja
Dickhoff_Essener Straßen_2015_2.pdf	4	1979	3838	119	ja
Dickhoff_Essener Straßen_2015_2.pdf	5	1922	3838	242	ja
Dickhoff_Essener Straßen_2015_2.pdf	6	1925	3838	228	ja
Dickhoff_Essener Straßen_2015_2.pdf	7	1916	3830	225	ja
Dickhoff_Essener Straßen_2015_2.pdf	8	1929	3838	218	ja
Dickhoff_Essener Straßen_2015_2.pdf	9	1927	3838	222	ja
Dickhoff_Essener Straßen_2015_2.pdf	10	1923	3830	216	ja
Dickhoff_Essener Straßen_2015_2.pdf	11	1971	3830	113	ja
Dickhoff_Essener Straßen_2015_2.pdf	12	1911	3792	173	ja
Dickhoff_Essener Straßen_2015_2.pdf	13	1961	3813	97	ja
Dickhoff_Essener Straßen_2015_2.pdf	14	1967	3813	107	ja
Dickhoff_Essener Straßen_2015_2.pdf	15	1958	3821	110	ja
Dickhoff_Essener Straßen_2015_2.pdf	16	1943	3800	109	ja
Dickhoff_Essener Straßen_2015_2.pdf	17	1948	3800	120	ja
Dickhoff_Essener Straßen_2015_2.pdf	18	1966	3813	113	ja
Dickhoff_Essener Straßen_2015_2.pdf	19	1965	3813	116	ja
Dickhoff_Essener Straßen_2015_2.pdf	20	1916	3830	219	ja
Dickhoff_Essener Straßen_2015_2.pdf	21	1907	3805	236	ja
Dickhoff_Essener Straßen_2015_2.pdf	22	1893	3805	221	ja
Dickhoff_Essener Straßen_2015_2.pdf	23	1914	3805	232	ja
Dickhoff_Essener Straßen_2015_2.pdf	24	1901	3805	224	ja
Dickhoff_Essener Straßen_2015_2.pdf	25	1971	3838	113	ja
Dickhoff_Essener Straßen_2015_2.pdf	26	1909	3805	228	ja
Dickhoff_Essener Straßen_2015_2.pdf	27	1916	3750	77	ja
Dickhoff_Essener Straßen_2015_2.pdf	28	1908	3792	85	ja
Dickhoff_Essener Straßen_2015_2.pdf	29	1911	3800	159	ja
Dickhoff_Essener Straßen_2015_2.pdf	30	1924	3813	172	ja
Dickhoff_Essener Straßen_2015_2.pdf	31	1904	3800	188	ja
Dickhoff_Essener Straßen_2015_2.pdf	32	1907	3813	184	ja
Dickhoff_Essener Straßen_2015_2.pdf	33	1913	3800	194	ja
Dickhoff_Essener Straßen_2015_2.pdf	34	1911	3800	208	ja
Dickhoff_Essener Straßen_2015_2.pdf	35	1950	3800	120	ja
Dickhoff_Essener Straßen_2015_2.pdf	36	1905	3813	222	ja
Dickhoff_Essener Straßen_2015_2.pdf	37	1910	3805	218	ja
Dickhoff_Essener Straßen_2015_2.pdf	38	1927	3830	219	ja
Dickhoff_Essener Straßen_2015_2.pdf	39	1921	3805	214	ja
Dickhoff_Essener Straßen_2015_2.pdf	40	1924	3805	208	ja
Dickhoff_Essener Straßen_2015_2.pdf	41	1953	3805	113	ja
Dickhoff_Essener Straßen_2015_2.pdf	42	1909	3805	211	ja
Dickhoff_Essener Straßen_2015_2.pdf	43	1974	3830	119	ja
Dickhoff_Essener Straßen_2015_2.pdf	44	1888	3784	170	ja
Dickhoff_Essener Straßen_2015_2.pdf	45	1937	3805	98	ja
Dickhoff_Essener Straßen_2015_2.pdf	46	1954	3813	108	ja
Dickhoff_Essener Straßen_2015_2.pdf	47	2228	4238	108	ja
Dickhoff_Essener Straßen_2015_2.pdf	48	1970	3830	103	ja
Dickhoff_Essener Straßen_2015_2.pdf	49	1978	3838	110	ja
Dickhoff_Essener Straßen_2015_2.pdf	50	1961	3813	119	ja
Dickhoff_Essener Straßen_2015_2.pdf	51	1972	3813	123	ja
Dickhoff_Essener Straßen_2015_2.pdf	52	1914	3821	230	ja
Dickhoff_Essener Straßen_2015_2.pdf	53	2186	4238	225	ja
Dickhoff_Essener Straßen_2015_2.pdf	54	1913	3813	233	ja
Dickhoff_Essener Straßen_2015_2.pdf	55	1921	3813	223	ja
Dickhoff_Essener Straßen_2015_2.pdf	56	2174	4255	225	ja
Dickhoff_Essener Straßen_2015_2.pdf	57	2162	4246	216	ja
Dickhoff_Essener Straßen_2015_2.pdf	58	1971	3821	103	ja
Dickhoff_Essener Straßen_2015_2.pdf	59	2230	4246	109	ja
Dickhoff_Essener Straßen_2015_2.pdf	60	2193	4246	89	ja
Dickhoff_Essener Straßen_2015_2.pdf	61	1951	3805	87	ja
