stadtteil,ehemalig,heutig,schl_nr,datum_praezision,quelle,zusatz,eindeutig
Südviertel,Frau-Berta-Krupp-Straße,Frau-Bertha-Krupp-Straße,00896,tag,Dickhoff 2015,(Verl.),ja
Stadtkern,Schlageterstraße,Friedrich-Ebert-Straße,00915,tag,Dickhoff 2015,(Umb.),ja
Frillendorf,Bauschenhöhe,Frillendorfer Höhe,00923,tag,Dickhoff 2015,,ja
Frintrop,Helmstraße,Frintroper Markt,00952,tag,Dickhoff 2015,(tlw.),ja
Frohnhausen,Friedel-Schrön-Platz,Frohnhauser Platz,00929,tag,Dickhoff 2015,(Umb.),ja
Freisenbruch,Ringstraße,Füllenkamp,00934,tag,Dickhoff 2015,,ja
Kray,Heinrichstraße,Fünfhandbank,00936,vor,Dickhoff 2015,(tlw.),nein
Südviertel,Syndikatstraße,Gärtnerstraße,00982,jahr,Dickhoff 2015,,ja
Schonnebeck,Boelckestraße,Gareisstraße,00985,tag,Dickhoff 2015,,ja
Kray,Johannesstraße,Gedingeweg,00996,tag,Dickhoff 2015,,ja
Heisingen,Zölestinstraße,Geismarweg,01118,tag,Dickhoff 2015,(tlw.),ja
Kettwig,Goethestraße,Gellertweg,03661,tag,Dickhoff 2015,,ja
Katernberg,Wallstraße,Gelsenholz,01003,tag,Dickhoff 2015,(tlw.),nein
Heisingen,Georgstraße,Georgkirchstraße,01010,vor,Dickhoff 2015,,ja
Südostviertel,Eickenscheidter Fuhr,Gerhard-Stötzel-Straße,00566,jahr,Dickhoff 2015,,ja
Freisenbruch,Friedenstraße,Gerlachfeld,01014,jahr,Dickhoff 2015,,ja
Ostviertel,Platz des 21. März,Gerlingplatz,01015,tag,Dickhoff 2015,,ja
Gerschede,Weidenstraße,Gerscheder Weiden,01038,tag,Dickhoff 2015,(tlw.),ja
Katernberg,Kurze Straße,Gerstekamp,01021,tag,Dickhoff 2015,,ja
Stadtkern,II. Weberstraße,Gerswidastraße,01022,vor,Dickhoff 2015,,ja
Rüttenscheid,Gerswidastraße,Girardetstraße,01119,tag,Dickhoff 2015,,ja
Nordviertel,Söllingstraße,Goldschmidtstraße,01058,tag,Dickhoff 2015,(tlw.),ja
Bredeney,Tirpitzstraße,Graf-Bernadotte-Straße,01063,tag,Dickhoff 2015,,ja
Steele,Bachstraße,Grendbach,01077,tag,Dickhoff 2015,,ja
Steele,Ruhrstraße,Grendtor,02664,vor,Dickhoff 2015,,ja
Kray,Bismarckstraße,Große Wiese,01091,vor,Dickhoff 2015,,ja
Karnap,Gartenstraße,Großfeldweg,01092,tag,Dickhoff 2015,,ja
Stoppenberg,Bruchweiher,Großwesterkamp,01124,tag,Dickhoff 2015,,ja
Stadtkern,Gustavstraße,Gustav-Hicking-Straße,01113,tag,Dickhoff 2015,,ja
Holsterhausen,Pilotystraße,Halbe Höhe,01170,tag,Dickhoff 2015,(tlw.),ja
Schonnebeck,Stoppenberger Straße,Hallostraße,01174,tag,Dickhoff 2015,(Umb.),ja
Fischlaken,Am Schwarzen,Hammer Straße,01181,tag,Dickhoff 2015,(Umb. tlw.),ja
Stoppenberg,Südstraße,Hangetal,01182,tag,Dickhoff 2015,,ja
Katernberg,Kirchstraße,Hanielstraße,01185,tag,Dickhoff 2015,,nein
Frohnhausen,Treitschkestraße,Hannah-Arendt-Straße,01623,tag,Dickhoff 2015,,ja
Rüttenscheid,Hans-Luther-Straße,Hans-Luther-Allee,01189,jahr,Dickhoff 2015,,ja
Holsterhausen,Corneliusstraße,Hans-Thoma-Straße,00554,tag,Dickhoff 2015,,ja
Schuir,Hatzper Straße,Hatzper Bogen,01212,tag,Dickhoff 2015,(tlw.),ja
Kettwig,Adolf-Hitler-Straße,Hauptstraße,03670,tag,Dickhoff 2015,(Umb.),ja
Werden,Schulstraße,Haus Fuhr,01216,vor,Dickhoff 2015,,ja
Schonnebeck,Heinrichstraße,Hausdykerfeld,01215,tag,Dickhoff 2015,,ja
Burgaltendorf,Im Haferfeld,Haverkamp,01435,tag,Dickhoff 2015,,ja
Stoppenberg,Wilhelmstraße,Heeskampshof,03401,tag,Dickhoff 2015,,ja
Kupferdreh,Südstraße,Heidbergweg,01237,tag,Dickhoff 2015,,ja
Kupferdreh,Oberstraße,Heidenreichberg,01239,vor,Dickhoff 2015,,ja
Südostviertel,Wächtlerstraße,Heilermannstraße,01384,tag,Dickhoff 2015,(tlw.),ja
Borbeck-Mitte,Rheinstraße,Heinrich-Brauns-Straße,02592,tag,Dickhoff 2015,,ja
Katernberg,Robert-Ley-Platz,Heinrich-Lersch-Platz,00903,tag,Dickhoff 2015,,ja
Katernberg,Robert-Ley-Straße,Heinrich-Lersch-Straße,00904,tag,Dickhoff 2015,,ja
Kray,Karlstraße,Heinrich-Sense-Weg,01252,jahr,Dickhoff 2015,(tlw.),nein
Altendorf,Helmholtzstraße,Heinrich-Strunk-Straße,01253,tag,Dickhoff 2015,,ja
Borbeck-Mitte,Heißener Straße,Heißener Weg,01419,tag,Dickhoff 2015,(Verl.),ja
Nordviertel,Am Kreuz,Helen-Keller-Straße,01439,tag,Dickhoff 2015,(tlw.),ja
Altendorf,Heinitzstraße,Helmholtzplatz,01266,tag,Dickhoff 2015,(tlw.),ja
Haarzopf,Im Siepken,Henningweg,01275,tag,Dickhoff 2015,(tlw.),ja
Stoppenberg,Kaiserstraße,Herbertshof,01278,vor,Dickhoff 2015,,ja
Stoppenberg,Nikolausstraße,Hertzlerstraße,01287,tag,Dickhoff 2015,(tlw.),ja
Werden,Nordstraße,Heskämpchen,01290,tag,Dickhoff 2015,,ja
Fischlaken,Im Hespertal,Hespertal,01291,tag,Dickhoff 2015,,ja
Werden,Helmesberg,Hesselerkamp,01293,tag,Dickhoff 2015,(tlw.),nein
Bedingrade,Hans-Kersten-Straße,Heukenfeld,01295,tag,Dickhoff 2015,,ja
Altendorf,Mercatorstraße,Hirtsieferstraße,01316,tag,Dickhoff 2015,,ja
Südviertel,Lordstraße,Hölderlinstraße,01327,tag,Dickhoff 2015,(tlw.),nein
Huttrop,Erbhofring,Hofringstraße,01339,tag,Dickhoff 2015,,ja
Steele,Mühlenweg,Holbecks Hof,01354,tag,Dickhoff 2015,,ja
Burgaltendorf,Holteyerberg,Holteyer Hang,01431,tag,Dickhoff 2015,(tlw.),nein
Burgaltendorf,Horster Straße,Holteyer Straße,01432,tag,Dickhoff 2015,,ja
Vogelheim,Snatgang,Holtrichterweg,00585,tag,Dickhoff 2015,,ja
Frillendorf,Dortmunder Straße,Hombrucher Straße,01422,tag,Dickhoff 2015,,nein
Stoppenberg,Stinnesstraße,Honigmannstraße,01367,tag,Dickhoff 2015,,ja
Heidhausen,Holsterhauser Straße,Honnschaftenstraße,01369,tag,Dickhoff 2015,,ja
Kettwig,Horst-Wessel-Platz,Hopmannplatz,03680,tag,Dickhoff 2015,,ja
Horst,Altendorfer Straße,Horster Straße,01371,tag,Dickhoff 2015,,ja
Altenessen-Nord,Holzschragen,Hossemsgarten,01423,tag,Dickhoff 2015,(tlw.),ja
Frillendorf,Dortmunder Straße,Huckarder Straße,01425,tag,Dickhoff 2015,(tlw.),nein
Steele,Lindenstraße,Hünninghausenweg,01386,tag,Dickhoff 2015,(Verl.),ja
Stoppenberg,Barbarastraße,Hüsertreppe,01387,tag,Dickhoff 2015,,ja
Schonnebeck,Richthofenstraße,Huestraße,01378,tag,Dickhoff 2015,,ja
Werden,Mittelstraße,Hufergasse,01394,tag,Dickhoff 2015,,ja
Stoppenberg,Hugenstraße,Hugenkamp,01396,tag,Dickhoff 2015,,ja
Katernberg,Alte Kirchstraße,Husemannweg,01405,tag,Dickhoff 2015,(tlw.),nein
Katernberg,Blumenstraße,Huskamp,01406,vor,Dickhoff 2015,,ja
Altendorf,Husmannstraße,Husmannshofstraße,01407,tag,Dickhoff 2015,,ja
Stoppenberg,Bahnhofstraße,Im Brilken,01460,tag,Dickhoff 2015,,ja
Leithe,Feldstraße,Im Helf,01471,tag,Dickhoff 2015,,ja
Steele,Alt-Steele,Im Kirchspiel,01478,tag,Dickhoff 2015,,ja
Steele,Rottstraße,Im Steeler Rott,01496,tag,Dickhoff 2015,,ja
Margarethenhöhe,Im stillen Winkel,Im Stillen Winkel,01497,tag,Dickhoff 2015,(schreibweise),ja
Vogelheim,Förderstraße,Im Stollen,01498,tag,Dickhoff 2015,(tlw.),ja
Bergerhausen,Walpurgisstraße,Im Walpurgistal,00531,tag,Dickhoff 2015,(tlw.),ja
Katernberg,Alte Kirchstraße,Imbuschweg,01461,tag,Dickhoff 2015,(tlw.),nein
Schonnebeck,Luisenstraße,Immelmannstraße,01486,tag,Dickhoff 2015,,ja
Ostviertel,Beuststraße,Immestraße,01487,tag,Dickhoff 2015,(tlw.),ja
Altendorf,Hagenbeck,In der Hagenbeck,01536,tag,Dickhoff 2015,,ja
Karnap,II. Schockenhecke,In der Vogelwiesche,01515,tag,Dickhoff 2015,,ja
Frohnhausen,Arndtstraße,Jacob-Grimm-Straße,00192,tag,Dickhoff 2015,,ja
Holsterhausen,Kruppstraße,Jenckestraße,01591,tag,Dickhoff 2015,(tlw.),ja
Bergeborbeck,Borbecker Straße,Johannes-Brokamp-Straße,01582,tag,Dickhoff 2015,(tlw.),ja
Katernberg,Bruchweiher,Josef-Hoeren-Straße,01592,tag,Dickhoff 2015,,ja
Steele,Schulstraße,Joseph-Boismard-Weg,01577,tag,Dickhoff 2015,,ja
Werden,Neustraße,Joseph-Breuer-Straße,01590,tag,Dickhoff 2015,,ja
Rüttenscheid,Justusstraße,Joseph-Lenné-Straße,01579,tag,Dickhoff 2015,,ja
Katernberg,Hochstraße,Joseph-Oertgen-Weg,01580,tag,Dickhoff 2015,,ja
Katernberg,Schüllerstraße,Joseph-Schüller-Platz,01581,tag,Dickhoff 2015,,ja
Altenessen-Süd,I. Levenhove,Kämmereihude,01638,tag,Dickhoff 2015,,ja
Steele,Isinger Markt,Kaiser-Otto-Platz,01621,tag,Dickhoff 2015,,ja
Karnap,Mathiasstraße,Kaiserswerthstraße,01624,tag,Dickhoff 2015,,ja
Nordviertel,Schlenhofstraße,Kallenbergstraße,01632,tag,Dickhoff 2015,(tlw.),ja
Heidhausen,Klosterstraße,Kamillusweg,01636,tag,Dickhoff 2015,,ja
Stoppenberg,Kirchberg,Kapitelberg,01652,tag,Dickhoff 2015,,ja
Stadtkern,Kurienplatz,Kardinal-Hengsbach-Platz,02539,tag,Dickhoff 2015,,ja
Nordviertel,Hundebrinkstraße,Karolingerstraße,01667,tag,Dickhoff 2015,(tlw.),ja
Katernberg,Nienhausener Straße,Katernberger Straße,01675,tag,Dickhoff 2015,(tlw.),ja
Werden,Kölner Straße,Kellerstraße,01685,tag,Dickhoff 2015,(tlw.),ja
Stadtkern,Adolf-Hitler-Straße,Kettwiger Straße,01697,tag,Dickhoff 2015,(Umb.),nein
Kettwig,Am Weinberg,Kettwiger Weinberg,03614,jahr,Dickhoff 2015,,ja
Bedingrade,Querstraße,Kiekenberg,01702,vor,Dickhoff 2015,,ja
Katernberg,Margarethenstraße,Kiepenkääls Weg,01705,vor,Dickhoff 2015,,ja
Rüttenscheid,Horst-Wessel-Straße,Klarastraße,01718,tag,Dickhoff 2015,(Umb.),ja
Altenessen-Süd,Rahmstraße,Kleine Rahmstraße,01869,tag,Dickhoff 2015,(tlw.),ja
Altendorf,Richterstraße,Kleine Richterstraße,01730,tag,Dickhoff 2015,(tlw.),ja
Südostviertel,Steubenstraße,Kleine Steubenstraße,01786,tag,Dickhoff 2015,(tlw.),ja
Südostviertel,Am Ostfriedhof,Klenzestraße,01743,tag,Dickhoff 2015,,ja
Steele,Luisenweg,Knappschaftshöhe,01756,jahr,Dickhoff 2015,,ja
Rüttenscheid,Goldschmidtstraße,Köndgenstraße,01860,tag,Dickhoff 2015,,ja
Heisingen,Hunsiepen,Kofeldhöhe,01861,tag,Dickhoff 2015,(tlw.),ja
Altenessen-Süd,II. Levenhove,Koopmanns Hude,01783,tag,Dickhoff 2015,,ja
Kray,Korthstraße,Korthover Weg,01792,tag,Dickhoff 2015,,nein
Kray,Korthstraße,Kortwiese,01791,tag,Dickhoff 2015,,nein
Heisingen,Hofstraße,Krapenbrink,01804,vor,Dickhoff 2015,,ja
Rüttenscheid,Andreasstraße,Krawehlstraße,01807,tag,Dickhoff 2015,,ja
Stoppenberg,Mathiasstraße,Krekenberg,01814,tag,Dickhoff 2015,,ja
Stadtkern,Kirchstraße,Kreuzeskirchstraße,01866,tag,Dickhoff 2015,,ja
Kettwig,Neustraße,Kringsgat,03729,vor,Dickhoff 2015,,ja
Freisenbruch,Klosterstraße,Kütings Garten,01838,tag,Dickhoff 2015,,ja
Borbeck-Mitte,Feldstraße,Kuhlmannsfeld,01865,tag,Dickhoff 2015,,ja
Kupferdreh,Marktstraße,Kupferdreher Markt,01847,jahr,Dickhoff 2015,,ja
Kupferdreh,Hauptstraße,Kupferdreher Straße,01848,tag,Dickhoff 2015,,ja
Stoppenberg,Moltkestraße,Kyffhäuserstraße,01854,tag,Dickhoff 2015,,ja
Heisingen,Werdener Straße,Lanfermannfähre,01899,vor,Dickhoff 2015,,ja
Heidhausen,Papenberg,Langenhorster Wald,01905,tag,Dickhoff 2015,,ja
Frohnhausen,Haferkamp,Langenkamp,02041,tag,Dickhoff 2015,,ja
Katernberg,Grenzstraße,Lattenkamp,01913,vor,Dickhoff 2015,,ja
Fischlaken,Ottostraße,Leanderbank,01927,tag,Dickhoff 2015,,ja
Werden,Flachsmarktgasse,Leinwebergasse,01936,tag,Dickhoff 2015,,ja
Werden,Flachsmarkt,Leinwebermarkt,01937,tag,Dickhoff 2015,,ja
Frohnhausen,Raffelberger Straße,Leipziger Straße,01938,tag,Dickhoff 2015,(Umb.),ja
Südviertel,Lessingstraße,Lenaustraße,01952,tag,Dickhoff 2015,(Verl.),ja
Katernberg,Schulstraße,Leseband,01951,tag,Dickhoff 2015,,ja
Borbeck-Mitte,Weithönerstraße,Levinstraße,01955,tag,Dickhoff 2015,(Umb.),ja
Bredeney,Hugenbergstraße,Lilienstraße,01968,tag,Dickhoff 2015,(Umb.),ja
Stadtkern,Thomaeplatz,Limbecker Platz,01970,tag,Dickhoff 2015,(Umb.),ja
Horst,Am Friedhof,Lindkensfeld,01975,jahr,Dickhoff 2015,,ja
Heisingen,Johannesstraße,Linhöferberg,01978,vor,Dickhoff 2015,,ja
Stoppenberg,Im Schollbrauk,Löskenweg,01989,tag,Dickhoff 2015,(tlw.),ja
Kray,F-Straße,Lohbergweg,01991,jahr,Dickhoff 2015,,ja
Karnap,Ludwig-Knickmann-Straße,Lohwiese,01997,tag,Dickhoff 2015,,ja
Karnap,Friedenstraße,Lüderitzwiese,02007,tag,Dickhoff 2015,,ja
Kray,Siepenstraße,Lunemannsiepen,02019,vor,Dickhoff 2015,(tlw.),ja
Huttrop,Am Döppelhahn,Mählerweg,02062,tag,Dickhoff 2015,,ja
Kray,Karlstraße,Marienstraße,02080,jahr,Dickhoff 2015,(tlw.),nein
Borbeck-Mitte,Wilhelmstraße,Marktstraße,02090,tag,Dickhoff 2015,,ja
Schonnebeck,Von-Epp-Straße,Matthias-Erzberger-Straße,02095,tag,Dickhoff 2015,,ja
Bergerhausen,Kaninenbergstraße,Max-Keith-Straße,01645,tag,Dickhoff 2015,,ja
Bredeney,Meckenstocker Weg,Meckenstocker Höfe,02180,tag,Dickhoff 2015,(tlw.),nein
Altendorf,Leibnizstraße,Mercatorstraße,01933,tag,Dickhoff 2015,,ja
Katernberg,Bahnstraße,Meybuschhof,02135,vor,Dickhoff 2015,,ja
Katernberg,Middeldorfstraße,Middeldorper Weg,02137,tag,Dickhoff 2015,,ja
Kettwig,Friedrichstraße,Mintarder Weg,03726,vor,Dickhoff 2015,,ja
Werden,Möllenbergstraße,Möllenberg,02145,tag,Dickhoff 2015,,ja
Burgaltendorf,Schulstraße,Mölleneystraße,02195,tag,Dickhoff 2015,,ja
Südviertel,Lordstraße,Mörikestraße,02152,tag,Dickhoff 2015,,nein
Kray,Steeler Straße,Morgensteig,02161,tag,Dickhoff 2015,,ja
Gerschede,Donnerstraße,Münstermannstraße,02174,tag,Dickhoff 2015,(tlw.),ja
Kray,Mozartstraße,Munscheidstraße,02178,jahr,Dickhoff 2015,,ja
Schonnebeck,Querstraße,Nachbarnweg,02221,tag,Dickhoff 2015,,ja
Ostviertel,Taubenstraße,Natorpstraße,02287,tag,Dickhoff 2015,(Verl.),ja
Kray,Hagenstraße,Nibelungenweg,02248,jahr,Dickhoff 2015,,ja
Frohnhausen,Curtiusstraße,Niebuhrstraße,02290,tag,Dickhoff 2015,(tlw.),ja
Katernberg,Wallstraße,Nienhuser Busch,02256,tag,Dickhoff 2015,(tlw.),nein
Bergerhausen,Wupperstraße,Niersstraße,03441,tag,Dickhoff 2015,,ja
Altenessen-Süd,III. Levenhove,Nobermanns Hude,02262,tag,Dickhoff 2015,,ja
Altendorf,Gartenkamp,Nöggerathstraße,02266,tag,Dickhoff 2015,(tlw.),ja
Altendorf,Koppestraße,Oberdorfstraße,02310,tag,Dickhoff 2015,,ja
Heidhausen,Pustenberg,Oberer Pustenberg,02312,tag,Dickhoff 2015,(tlw.),ja
Kettwig,Alte Straße,Oberlehberg,03733,jahr,Dickhoff 2015,(tlw.),nein
Bergeborbeck,Herderstraße,Oskar-Pannen-Straße,01280,tag,Dickhoff 2015,,ja
Rüttenscheid,Otmarstraße,Oskarstraße,02326,tag,Dickhoff 2015,(tlw.),ja
Katernberg,Kastanienstraße,Ottenkämperweg,02343,vor,Dickhoff 2015,,ja
Altenessen-Süd,Katernberger Straße,Palmbuschweg,02381,tag,Dickhoff 2015,,ja
