stadtteil,ehemalig,heutig,schl_nr,datum_praezision,quelle,zusatz,eindeutig
Bergerhausen,Mainstraße,Siegstraße,02066,tag,Dickhoff 2015,,ja
Karnap,Leonorenstraße,Sigambrerweg,02882,tag,Dickhoff 2015,,ja
Dellwig,Einbleckstraße,Söllockweg,03024,tag,Dickhoff 2015,,ja
Kray,Bahnhofstraße,Soester Straße,02893,tag,Dickhoff 2015,,ja
Karnap,Robertstraße,Spakenbroich,02901,tag,Dickhoff 2015,,ja
Stoppenberg,Beuststraße,Springmannstraße,02917,tag,Dickhoff 2015,,ja
Katernberg,Bruckmannstraße,Stauderstraße,03014,vor,Dickhoff 2015,,ja
Heisingen,Ringstraße,Stauseebogen,02929,vor,Dickhoff 2015,,ja
Steele,Bergstraße,Steeler Bergstraße,00338,tag,Dickhoff 2015,,ja
Bochold,Wolfsbankstraße,Steinbrink,02940,tag,Dickhoff 2015,(tlw.),ja
Bedingrade,Hagedornstraße,Stenkamps Busch,03015,tag,Dickhoff 2015,(tlw.),ja
Bedingrade,Moosstraße,Stensbeckhof,03016,tag,Dickhoff 2015,(tlw.),ja
Stadtwald,Geierstraße,Stiftmühlenbrink,02964,tag,Dickhoff 2015,,ja
Stoppenberg,Bismarckstraße,Stiftsdamenwald,02966,tag,Dickhoff 2015,,ja
Margarethenhöhe,Grüner Weg,Stiller Weg,01098,tag,Dickhoff 2015,,ja
Nordviertel,Karpinskistraße,Stoppenberger Straße,02974,jahr,Dickhoff 2015,(Umb.),ja
Kettwig,Hermannstraße,Strängerstraße,03677,tag,Dickhoff 2015,,ja
Altendorf,Mendener Straße,Styrumer Straße,02990,tag,Dickhoff 2015,(Umb.),ja
Rüttenscheid,Brunhildenstraße,Süthers Garten,02994,tag,Dickhoff 2015,,ja
Rüttenscheid,Rosastraße,Sylviastraße,03021,tag,Dickhoff 2015,(tlw.),ja
Steele,Am Stadtgarten,Tamperestraße,03112,tag,Dickhoff 2015,,ja
Dellwig,Rahmannstraße,Tauweg,03048,tag,Dickhoff 2015,(tlw.),ja
Kray,Kappertstraße,Tempelhof,03053,tag,Dickhoff 2015,,ja
Katernberg,Bruchstraße,Termeerhöfe,03055,vor,Dickhoff 2015,,ja
Kray,D-Straße,Teutoburger Weg,03058,jahr,Dickhoff 2015,,ja
Bredeney,Beckmannsbusch,Theodor-Althoff-Straße,03108,tag,Dickhoff 2015,(tlw.),ja
Bochold,Borbecker Straße,Theodor-Hartz-Straße,03109,tag,Dickhoff 2015,(tlw.),ja
Stoppenberg,Schulstraße,Theodor-Pyls-Straße,03110,tag,Dickhoff 2015,,ja
Karnap,Am Goetheplatz,Thusneldaplatz,03070,tag,Dickhoff 2015,(tlw.),ja
Karnap,Kantstraße,Thusneldastraße,03071,tag,Dickhoff 2015,,ja
Werden,Towersack,Towersgarten,03085,tag,Dickhoff 2015,,ja
Margarethenhöhe,Rosenweg,Trautes Heim,03088,tag,Dickhoff 2015,,ja
Werden,Johannesstraße,Tuchmachersteig,03095,tag,Dickhoff 2015,,ja
Stadtwald,Ulmenhof,Ulmengarten,03141,tag,Dickhoff 2015,(tlw.),nein
Stadtwald,Ulmenhof,Ulmenhang,03164,tag,Dickhoff 2015,(tlw.),nein
Nordviertel,Unionstraße,Universitätsstraße,03166,tag,Dickhoff 2015,,ja
Altenessen-Süd,Horster Straße,Unsuhrstraße,03155,tag,Dickhoff 2015,(tlw.),ja
Werden,Pustenberg,Unterer Pustenberg,03159,tag,Dickhoff 2015,,nein
Kettwig,Alte Straße,Unterlehberg,03761,jahr,Dickhoff 2015,(tlw.),nein
Stadtkern,Oettingplatz,Viehofer Platz,03214,tag,Dickhoff 2015,(Umb.),ja
Stadtkern,Adolf-Hitler-Straße,Viehofer Straße,03215,tag,Dickhoff 2015,(Umb.),nein
Kray,Josephstraße,Vierhandbank,03217,vor,Dickhoff 2015,,ja
Katernberg,Teichstraße,Viermännerhöfe,03218,vor,Dickhoff 2015,,ja
Katernberg,Kaiserstraße,Viktoriastraße,03221,tag,Dickhoff 2015,,ja
Rüttenscheid,Karolinenstraße,Vöcklinghauser Straße,03228,tag,Dickhoff 2015,(tlw.),ja
Leithe,Röchlingstraße,Volksgartenweg,03234,tag,Dickhoff 2015,,ja
Stoppenberg,Kleine Grabenstraße,Von-Bergmann-Straße,03237,tag,Dickhoff 2015,,ja
Rüttenscheid,Ortrudstraße,Von-Einem-Straße,03241,tag,Dickhoff 2015,,ja
Rüttenscheid,Irmgardstraße,Von-Seeckt-Straße,03246,tag,Dickhoff 2015,,ja
Horst,Horststraße,Vryburg,03254,tag,Dickhoff 2015,(tlw.),nein
Steele,Piekenbrockstraße,Waisenhausbrink,03295,tag,Dickhoff 2015,,ja
Schuir,Eststraße,Wallneyer Straße,03316,tag,Dickhoff 2015,(tlw.),ja
Südviertel,Kaupenstraße,Walter-Hohmann-Straße,03444,tag,Dickhoff 2015,(tlw.),nein
Bredeney,Mückestraße,Weddigenstraße,03327,tag,Dickhoff 2015,,ja
Freisenbruch,Jakobstraße,Weg am Berge,03328,tag,Dickhoff 2015,,ja
Rüttenscheid,Ludgerusstraße,Wegenerstraße,03329,tag,Dickhoff 2015,,ja
Rüttenscheid,Ernststraße,Wehmenkamp,03332,tag,Dickhoff 2015,,ja
Altenessen-Süd,Freiladestraße,Weigelwerkstraße,03403,tag,Dickhoff 2015,,ja
Kray,Voßstraße,Wendtwiese,03349,jahr,Dickhoff 2015,,ja
Werden,Markt,Werdener Markt,03352,tag,Dickhoff 2015,,ja
Kettwig,Laupendahler Straße,Werdener Straße,03766,tag,Dickhoff 2015,(Umb.),nein
Bergerhausen,Joseph-Hommer-Weg,Weserstraße,03359,tag,Dickhoff 2015,(Umb.),ja
Werden,Bismarckstraße,Wesselswerth,03361,tag,Dickhoff 2015,,ja
Schonnebeck,Niekamp,Westbergkamp,03362,tag,Dickhoff 2015,,ja
Schönebeck,Lohstraße,Westerbergweg,00533,tag,Dickhoff 2015,(tlw.),ja
Kettwig,Straße der SA,Wilhelmstraße,03768,tag,Dickhoff 2015,(Umb.),ja
Rellinghausen,Kutscherweg,Wippenbeckhang,00537,tag,Dickhoff 2015,,ja
Rüttenscheid,Wittekindstraße,Wittenbergstraße,03420,tag,Dickhoff 2015,,ja
Karnap,Herderstraße,Woermannstraße,03425,vor,Dickhoff 2015,,ja
Schuir,Wolfsbachweg,Wolfsbachtal,03451,tag,Dickhoff 2015,(tlw.),ja
Burgaltendorf,Am Bahnhof,Worringstraße,03454,tag,Dickhoff 2015,,ja
Bergerhausen,Sartoriusstraße,Wuppertaler Straße,03442,tag,Dickhoff 2015,(tlw.),ja
Frillendorf,Schacht Katharina,Zehntfeld,03496,tag,Dickhoff 2015,,ja
Werden,Hüsgenweg,Zimmermannstraße,03504,tag,Dickhoff 2015,,ja
Südviertel,Kaupenstraße,Zindelstraße,03533,tag,Dickhoff 2015,(tlw.),nein
Kray,C-Straße,Zollernweg,03511,jahr,Dickhoff 2015,,ja
Kettwig,Laupendahler Straße,Zur Alten Fähre,03770,tag,Dickhoff 2015,(tlw.),nein
Freisenbruch,Schmiedestraße,Zweibachegge,03527,vor,Dickhoff 2015,,ja
Nordviertel,Sternstraße,Zwinglistraße,03536,tag,Dickhoff 2015,,ja
