schl_nr,lemma,stadtteile,strassenklasse,namensgruppe,verweis_auf,buchseite,status
00767,Elsaßstraße,Heisingen,Gemeindestraße,Stadt und Ort,,107,automatisch
00768,Elsterbuschstraße,Leithe,Gemeindestraße,Flurname,,107,automatisch
00769,Eltingplatz,Nordviertel,Gemeindestraße,"Person, Mann, Deutscher, Industrieller, Essener Geschichte und Örtlichkeit, Platz",Eltingstraße,107,automatisch
00770,Eltingstraße,Nordviertel,Gemeindestraße,"Person, Mann, Deutscher, Industrieller, Essener Geschichte und Örtlichkeit",,107,automatisch
00814,Elvenholzfeld,Burgaltendorf,Gemeindestraße,Flurname,,107,automatisch
02226,Elzstraße,Bergerhausen,Gemeindestraße,Gewässer,,107,automatisch
00771,Emdenstraße,Bredeney,Gemeindestraße,Kriegserinnerung,,107,automatisch
00586,Emil-Bredt-Weg,Dellwig,Gemeindestraße,"Person, Mann, Deutscher, Pfarrer",,107,automatisch
00772,Emilienstraße,Südviertel,Gemeindestraße,"Person, Frau, Deutsche, Weiblicher Vorname, Essener Geschichte und Örtlichkeit",,107,automatisch
03647,Emil-Kemper-Straße,Kettwig,Gemeindestraße,"Person, Mann, Deutscher, Stadtverordneter",,108,automatisch
02519,Emma-Grasse-Weg,Altenessen-Nord,Gemeindestraße,"Person, Frau, Deutsche, Politikerin",,108,automatisch
00773,Emmastraße,Rüttenscheid,Gemeindestraße,Weiblicher Vorname,,108,automatisch
00774,Emscherblick,Dellwig,Gemeindestraße,Lagebezeichnung,,108,automatisch
01147,Emscherbruchallee,Bergeborbeck,Gemeindestraße,Lagebezeichnung,,108,automatisch
00775,” Emscherstraße,Altenessen- Nord; Katernberg,Gemeindestraße,Gewässer,,108,unsicher
00776,Endemannhöhe,Byfang,Gemeindestraße,Kotten,,108,automatisch
00527,Endepoet,Kettwig,Gemeindestraße,Lagebezeichnung,,108,automatisch
00777,Endstraße,Bochold,Gemeindestraße,Lagebezeichnung,,108,automatisch
00778,Engelbertstraße,Ostviertel,Kreisstraße,"Person, Mann, Deutscher, Geistlicher, Männlicher Vorname, Essener Geschichte und Ortlichkeit",,108,automatisch
00779,Engelsbecke,Huttrop,Gemeindestraße,Flurname,,108,automatisch
00780,Engelsruh,Schuir,Gemeindestraße,Lagebezeichnung,,108,automatisch
00781,Engelssiepen,Kupferdreh,Gemeindestraße,"Flurname, Kotten",,109,automatisch
00782,Engersgau,Gerschede,Gemeindestraße,"Stadt und Ort, Siedlung",,109,automatisch
00783,Eppinghofer Straße,Altendorf,Gemeindestraße,Stadt und Ort,,109,automatisch
00812,Erasmusstraße,Freisenbruch,Gemeindestraße,"Person, Mann, Niederländer, Theologe, Philosoph, Philologe",,109,automatisch
00785,Erbenbank,Altenessen- Nord,Gemeindestraße,Bergbau,,109,automatisch
00786,Erbslöhstraße,Altenessen- Süd,Gemeindestraße,"Person, Mann, Deutscher, Ballonfahrer",,109,automatisch
00813,Erdpohlweg,Stoppenberg,Gemeindestraße,Kotten,,109,automatisch
00787,Erdwegstraße,Bochold,Gemeindestraße,"Person, Mann, Deutscher, Pfarrer, Essener Geschichte und Ortlichkeit",,109,automatisch
03648,Erftstraße,Kettwig,Gemeindestraße,Gewässer,,109,automatisch
00788,Erikapfad,Stadtwald,Gemeindestraße,Botanik,,109,automatisch
00789,Erinweg,Kray,Gemeindestraße,Bergbau,,109,automatisch
00790,Erlenhagen,Frintrop,Gemeindestraße,Botanik,,109,automatisch
00791,Erlenkampsweg,Stoppenberg,Gemeindestraße,Flurname,,110,automatisch
00792,Ernastraße,Rüttenscheid,Gemeindestraße,Weiblicher Vorname,,110,automatisch
00793,Ernestinenstraße,Frillendorf; Stoppenberg,Landstraße,Lagebezeichnung,Zeche Ernestine,110,automatisch
00819,Ernst-Barlach-Straße,Steele,Gemeindestraße,"Person, Mann, Deutscher, Bildhauer, Graphiker, Dichter",,110,automatisch
00962,Ernst-Schmidt-Platz,Südviertel,Gemeindestraße,"Person, Mann, Deutscher, Historiker, Platz",,110,automatisch
00794,Ernststraße,Kray,Gemeindestraße,"Person, Mann, Deutscher, Landwirt, Männlicher Vorname",,110,automatisch
00810,Ernst-Tengelmann-Ring,Heisingen,Gemeindestraße,"Person, Mann, Deutscher, Industrieller",,110,automatisch
00795,Erntedankweg,Huttrop,Gemeindestraße,Lagebezeichnung,,110,automatisch
03265,Erzstraße,Horst,Gemeindestraße,Lagebezeichnung,,110,automatisch
00797,Eschenburg,Steele,Gemeindestraße,Flurname,,110,automatisch
00798,Eschenstraße,Stadtwald,Gemeindestraße,Botanik,,110,automatisch
00816,Eskensfeld,Überruhr- Holthausen,Gemeindestraße,Flurname,,110,automatisch
00817,Eskenshof,Überruhr-Holthausen,Gemeindestraße,Hofname,,110,unsicher
00800,Esmarchstraße,Holsterhausen,Gemeindestraße,"Person, Mann, Deutscher, Mediziner",,111,automatisch
00801,Essener Straße,Stoppenberg,Landstraße,Stadt und Ort,,111,automatisch
00802,Essingweg,Bochold,Gemeindestraße,"Person, Mann, Deutscher, Jurist",,111,automatisch
00803,Stadtteilbibliothek 1930 Esternhovede,Stoppenberg,Gemeindestraße,Hofname,,111,automatisch
00804,Eststraße,Haarzopf,Gemeindestraße,Flurname,,111,automatisch
00805,Etterbach,Stoppenberg,Gemeindestraße,Flurname,,111,automatisch
00696,Eugen-Sulz-Straße,Westviertel,Gemeindestraße,"Person, Mann, Deutscher, Bibliothekar",,111,automatisch
00806,Eulerstraße,Altendorf,Gemeindestraße,"Person, Mann, Schweizer, Mathematiker, Techniker",,111,automatisch
00807,Eupenstraße,Heisingen,Gemeindestraße,Stadt und Ort,Elsaßstraße,112,automatisch
00808,Euskirchenstraße,Altendorf,Gemeindestraße,"Person, Mann, Deutscher, Pfarrer, Essener Geschichte und Örtlichkeit",,112,automatisch
01139,Eva-Hollands-Weg,Kettwig,Gemeindestraße,"Person, Frau, Deutsche, Politikerin",,112,automatisch
02525,Ewald-Dutschke-Straße,Gerschede,Gemeindestraße,"Person, Mann, Deutscher, Politiker",,112,automatisch
00841,Fährenkotten - um 1935 Fährenkotten,Heisingen,Gemeindestraße,Kotten,,112,unsicher
00844,Fängershofstraße,Haarzopf,Gemeindestraße,Hofname,,112,automatisch
00845,Färberweg,Horst,Gemeindestraße,Mühle,,112,automatisch
00840,Fahrenberg,Byfang,Gemeindestraße,"Nummerierungsbezirk, Flurname, Kotten",,112,automatisch
00842,Fahrhauerstraße,Altenessen-Nord,Gemeindestraße,Bergbau,,113,automatisch
00843,Falkstraße,Holsterhausen,Gemeindestraße,"Person, Mann, Deutscher, Politiker, Jurist",,113,automatisch
00956,Falterweg,Horst,Gemeindestraße,Zoologie,,113,automatisch
00953,Farrenbroich,Katernberg,Gemeindestraße,Flurname,,113,automatisch
00846,Fasanenstraße,Stadtwald,Gemeindestraße,Zoologie,,113,automatisch
00847,Faßbinderweg,Katernberg,Gemeindestraße,Lagebezeichnung,,113,automatisch
00948,Feggelerweg,Steele,Gemeindestraße,Familienname,,113,automatisch
00849,Feilenstraße,Nordviertel,Gemeindestraße,Industrie und Wirtschaft,,113,automatisch
01553,Feldhausaue,Stoppenberg,Gemeindestraße,Familienname,,113,automatisch
00851,Feldhauskamp,Huttrop,Gemeindestraße,Lagebezeichnung,Luegstraße,113,automatisch
00852,Feldmannhof,Altenessen- Süd,Gemeindestraße,"Person, Mann, Deutscher, Direktor",,113,automatisch
00853,Feldstraße,Burgaltendorf,Gemeindestraße,Lagebezeichnung,,113,automatisch
00946,Feldwiese,Katernberg,Gemeindestraße,Flurname,,113,automatisch
03651,Felkestraße,Kettwig,Gemeindestraße,"Person, Mann, Deutscher, Pfarrer",,113,automatisch
00854,Fendelweg,Bredeney,Gemeindestraße,Kotten,,113,automatisch
03765,Ferdinand-Weerth-Straße,Kettwig,Gemeindestraße,"Person, Mann, Deutscher, Prediger",,114,automatisch
00855,Fernblick,Heisingen,Gemeindestraße,Lagebezeichnung,,114,automatisch
00856,Feuerbachstraße,Holsterhausen,Gemeindestraße,"Person, Mann, Deutscher, Jurist",,114,automatisch
00857,Fibelweg,Margarethenhöhe,Gemeindestraße,Lagebezeichnung,,114,automatisch
00858,Fichtelstraße,Kray,Gemeindestraße,"Person, Mann, Deutscher, Direktor, Bergbau, Siedlung",,114,automatisch
00859,Finefraustraße,Rellinghausen,Gemeindestraße,"Bergbau, (vorm.) Carl-Funke-Straße",,114,automatisch
00860,Finkenhof,Stadtwald,Gemeindestraße,Zoologie,,114,automatisch
03653,Finkenweg,Kettwig,Gemeindestraße,Zoologie,,114,automatisch
00861,Fischerstraße,Südviertel,Gemeindestraße,"Person, Mann, Deutscher, Pfarrer, Essener Geschichte und Örtlichkeit",,114,automatisch
00957,Fischlaker Höfe,Fischlaken,Gemeindestraße,Lagebezeichnung,,114,automatisch
00862,Fischlaker Straße,Fischlaken,Gemeindestraße,Lagebezeichnung,,114,automatisch
00863,Fischweiher,Kray,Gemeindestraße,Gewässer,,114,automatisch
00864,Flachsmarkt,Stadtkern,Gemeindestraße,"Essener Geschichte und Örtlichkeit, Platz",Markt,114,automatisch
00865,Flakerfeld,Überruhr- Holthausen,Gemeindestraße,Hofname,Flakering,114,automatisch
00866,Flakering - Ehemaliger Hof Flake 1970 Flakering,Überruhr- Holthausen,Gemeindestraße,Hofname,,115,unsicher
03287,Flandernstraße,Bochold; Bergeborbeck,Gemeindestraße,Stadt und Ort,,115,automatisch
00867,Flashoffstraße,Ostviertel,Gemeindestraße,"Person, Mann, Deutscher, Apotheker, Munizipalrat, Stadtrat",,115,automatisch
00902,Fleherweg,Horst,Gemeindestraße,"Person, Mann, Deutscher, Rektor",,115,automatisch
00868,Flemingweg,Rüttenscheid,Gemeindestraße,Flurname,,115,automatisch
00869,Fleuenbruch,Bergeborbeck,Gemeindestraße,Gemeinheit,,115,automatisch
00870,Fliederbusch,Bredeney,Gemeindestraße,Botanik,,115,automatisch
00871,Fliegenbuschweg,Schönebeck,Gemeindestraße,Flur-name,,115,automatisch
00872,Fließstraße,Bochold,Gemeindestraße,Geologie,,115,automatisch
00873,FlieBstraße,Bochold,Gemeindestraße,Geologie,,115,unsicher
00874,Flörken,Heisingen,Gemeindestraße,Bergbau,,116,automatisch
01597,Flöz Zollverein,Stoppenberg,Gemeindestraße,"Bergbau, Siedlung",,116,automatisch
00875,Flözstraße,Bochold,Gemeindestraße,Bergbau,,116,automatisch
00876,Florastraße,Rüttenscheid,Gemeindestraße,Lagebezeichnung,,116,automatisch
00877,Florweg,Heisingen,Gemeindestraße,Lagebezeichnung,Flörken,116,automatisch
00878,Flurstraße,Borbeck-Mitte,Gemeindestraße,Lagebezeichnung,,116,automatisch
00879,Föhrenweg,Haarzopf,Gemeindestraße,Botanik,,116,automatisch
00880,Förderstraße,Vogelheim,Gemeindestraße,Bergbau,,116,automatisch
00881,Folkersbeck,Haarzopf,Gemeindestraße,Flurname,,116,automatisch
00882,Folkwangstraße,Rüttenscheid,Gemeindestraße,Lagebezeichnung,,116,automatisch
00883,Fontänengasse,Stadtkern,Gemeindestraße,Essener Geschichte und Örtlichkeit,,116,automatisch
00884,Forschepoeterweg,Schonnebeck,Gemeindestraße,Kotten,,117,automatisch
00885,Forsthausstraße,Stadtwald,Gemeindestraße,Lagebezeichnung,,117,automatisch
00886,Forstmannstraße,Werden,Gemeindestraße,Familienname,,117,automatisch
00887,Forststraße,Vogelheim,Gemeindestraße,Lagebezeichnung,,117,automatisch
00888,Franzenshöhe Frankenstraße,Bredeney; Stadtwald; Rellinghausen,Landstraße,Stadt und Ort,,117,automatisch
00889,Frankfurter Straße,Frohnhausen,Gemeindestraße,Stadt und Ort,,117,automatisch
00947,Franz-Arens-Straße,Südostviertel,Gemeindestraße,"Person, Mann, Deutscher, Politiker, Historiker",,117,unsicher
00890,Franzenshöhe,Werden,Gemeindestraße,Lagebezeichnung,,117,automatisch
00921,Franz-Fischer-Weg,Frillendorf; Kray,Gemeindestraße,"Person, Mann, Deutscher, Industrieller",,118,automatisch
00891,Franziskanerhöhe,Südostviertel,Gemeindestraße,Kirche und Kloster,Franziskanerstraße,118,automatisch
00892,Franziskanerstraße,Südostviertel,Gemeindestraße,Kirche und Kloster,,118,automatisch
00893,Franziskastraße,Rüttenscheid,Landstraße,Weiblicher Vorname,,118,unsicher
00894,Franziusstraße,Huttrop,Gemeindestraße,"Person, Mann, Deutscher, Wasserbauingenieur",,118,automatisch
00958,Franz-Voutta-Straße,Werden,Gemeindestraße,"Person, Mann, Deutscher, Schreiner",,118,automatisch
00895,Franz-Xaver-Weg,Leithe,Gemeindestraße,"Person, Mann, Deutscher, Missionar, Heiliger",,118,automatisch
00896,Frau-Bertha-Krupp-Straße,Südviertel,Gemeindestraße,"Person, Frau, Deutsche, Familie Krupp, Essener Geschichte und Örtlichkeit",,118,automatisch
00897,Frauenfelderstraße,Altenessen-Nord,Gemeindestraße,"Person, Mann, Deutscher, Gewerkschafter",,118,automatisch
00950,Frauenlobstraße,Leithe,Gemeindestraße,"Person, Mann, Deutscher, Dichter, Meistersinger",,118,automatisch
00898,Frauenstein,Kupferdreh,Gemeindestraße,Flurname,,118,automatisch
00899,Freiheit,Südviertel,Kreisstraße,Lagebezeichnung,,119,automatisch
00900,Freiherrnweg,Borbeck-Mitte,Gemeindestraße,Adelstand,,119,automatisch
00901,Freiherr-vom-Stein-Straße,Bredeney; Heisingen,Gemeindestraße,"Person, Mann, Deutscher, Adelstand",,119,automatisch
03654,Freihofstraße,Kettwig,Gemeindestraße,Lagebezeichnung,Montebruchstraße,119,automatisch
03655,Freiligrathplatz,Kettwig,Gemeindestraße,"Person, Mann, Deutscher, Lyriker, Dichter, Übersetzer, Platz",,119,automatisch
03656,Freiligrathstraße,Kettwig,Gemeindestraße,"Person, Mann, Deutscher, Lyriker, Dichter, Übersetzer",Freiligrathplatz,119,unsicher
00905,Freisenbruchstraße,Freisenbruch; Steele,Gemeindestraße,Hofname,,119,unsicher
00906,Freistattstraße,Nordviertel,Gemeindestraße,Flurname,,119,automatisch
00907,Freseniusstraße,Holsterhausen,Gemeindestraße,"Person, Mann, Deutscher, Chemiker",,119,automatisch
00908,Frettholz,Holsterhausen,Gemeindestraße,Flurname,,119,automatisch
00909,Freytagstraße,Frohnhausen,Gemeindestraße,"Person, Mann, Deutscher, Schriftsteller, Kulturhistoriker",,119,automatisch
00949,Fridolinstraße,Horst,Gemeindestraße,"Bergbau, Männlicher Vorname",Zeche Eiberg,119,automatisch
00910,Fridtjof-Nansen-Straße,Rüttenscheid,Gemeindestraße,"Person, Mann, Norweger, Zoologe, Polarforscher, Philanthrop",,119,automatisch
00911,Friedbergstraße,Holsterhausen,Gemeindestraße,"Person, Mann, Deutscher, Politiker, Jurist",,120,automatisch
00912,Friedenstraße,Kray,Gemeindestraße,Lagebezeichnung,,120,automatisch
00913,Friederikenstraße,Rüttenscheid,Gemeindestraße,Weiblicher Vorname,,120,automatisch
00914,Friedhofstraße,Schonnebeck,Gemeindestraße,Lagebezeichnung,,120,automatisch
00915,Friedrich-Ebert-Straße,Stadtkern; Westviertel,Landstraße,"Person, Mann, Deutscher, Politiker",,120,automatisch
00916,Friedrich-Küch-Straße,Huttrop,Gemeindestraße,"Person, Mann, Deutscher",,120,automatisch
00576,Friedrich-Küpper-Weg,Heidhausen,Gemeindestraße,"Person, Mann, Deutscher, Lehrer, Historiker",,120,automatisch
00917,Friedrich-Lange-Straße,Bochold,Landstraße,"Person, Mann, Deutscher, Direktor",,120,automatisch
00918,Friedrich-List-Straße,Südviertel,Gemeindestraße,"Person, Mann, Deutscher, Wirtschaftstheoretiker, Unternehmer",,120,automatisch
00919,Friedrichstraße,Südviertel,Bundesstraße,"Person, Mann, Deutscher, Familie Krupp, Kaufmann, Unternehmer",,120,automatisch
00920,Friedrichswall,Steele,Gemeindestraße,Lagebezeichnung,,120,automatisch
00945,Frielingsdorfweg,Heidhausen,Gemeindestraße,Familienname,,121,automatisch
00922,Friesenaue,Bochold,Gemeindestraße,"Person, Mann, Deutscher, Pädagoge, Freiheitskämpfer, Turner",,121,automatisch
00923,Frillendorfer Höhe,Frillendorf,Gemeindestraße,Lagebezeichnung,Frillendorfer Straße,121,automatisch
00924,Frillendorfer Platz,Frillendorf,Gemeindestraße,"Lagebezeichnung, Platz",Frillendorfer Straße,121,automatisch
00925,Frillendorfer Straße,Ostviertelund Frillendorf,Landstraße; Hauptstraße,Lagebezeichnung,,121,automatisch
00951,Frintroper Höhe,Frintrop,Gemeindestraße,Lagebezeichnung,,121,automatisch
00926,Frintroper Knappen,Frintrop,Gemeindestraße,Flurname,,121,automatisch
00952,Frintroper Markt,Frintrop,Gemeindestraße,"Lagebezeichnung, Platz",,121,automatisch
00927,Frintroper Straße,Frintrop; Bedingrade; Schönebeck; Borbeck-Mitte,Bundesstraße,Bauerschaft,,121,automatisch
01879,Fritz-Niermann-Platz,Altendorf,Gemeindestraße,"Person, Mann, Deutscher, Kaufmann, Platz",,121,automatisch
01144,Fritz-Schaub-Weg,Burgaltendorf,Gemeindestraße,"Person, Mann, Deutscher, Schlosser, Politiker",,121,automatisch
00708,Fritz-Schupp-Allee,Stoppenberg,Gemeindestraße,"Person, Mann, Deutscher, Architekt",,121,automatisch
00928,Fritzstraße,Altenessen-Nord,Gemeindestraße,"Bergbau, Männlicher Vorname",,122,automatisch
03610,Fröbelweg,Kettwig,Gemeindestraße,"Person, Mann, Deutscher, Pädagoge",,122,automatisch
00929,Frohnhauser Platz,Frohnhausen,Gemeindestraße,"Lagebezeichnung, Platz",,122,automatisch
00930,Frohnhauser Straße,Stadtkern; Westviertel; Holsterhausen; Frohnhausen,Kreisstraße; Landstraße,Lagebezeichnung,Frohnhauser Platz,122,automatisch
00931,Frühlingstraße,Bredeney,Gemeindestraße,Botanik,Baumblüte,122,automatisch
00932,Fuchsgang,Bredeney,Gemeindestraße,Geologie,,122,automatisch
00933,Führichstraße,Holsterhausen,Gemeindestraße,"Person, Mann, Österreicher, Maler, Malerviertel-Holsterhausen",,122,automatisch
00934,Füllenkamp,Freisenbruch,Gemeindestraße,Flurname,,122,automatisch
00935,Fünffußbank,Altenessen- Nord,Gemeindestraße,Bergbau,,122,automatisch
00936,Fünfhandbank,Kray,Gemeindestraße,Bergbau,Fünffußbank,122,automatisch
00937,Fünfhöfestraße,Altenessen- Nord,Gemeindestraße,Lagebezeichnung,,122,automatisch
00938,Fünfkirchenblick,Huttrop; Bergerhausen,Gemeindestraße,Lagebezeichnung,,122,automatisch
00939,Fürstäbtissinstraße,Borbeck- Mitte,Gemeindestraße,"Person, Frau, Deutsche, Abtissin",,122,unsicher
00940,Fürstenbergstraße,Borbeck-Mitte,Gemeindestraße,"Person, Mann, Deutscher, Reichsfreiherr, Adelstand",,122,unsicher
00941,Fürstinstraße,Steele,Gemeindestraße,"Person, Frau, Deutsche, Prinzessin, Abtissin",,123,unsicher
00942,Fuldastraße,Bergerhausen,Gemeindestraße,Gewässer,,123,unsicher
00943,Fulerumer Straße,Fulerum,Landstraße,Bauerschaft,,123,automatisch
00944,Fundlandstraße,Altenessen- Süd; Katernberg,Gemeindestraße,Flurname,,123,automatisch
00981,Gänsemarkt,Stadtkern,Gemeindestraße,Essener Geschichte und Ortlichkeit,,123,automatisch
00982,Gärtnerstraße,Südviertel,Gemeindestraße,Essener Geschichte und Örtlichkeit,,123,automatisch
00983,Gantenbergstraße,Kray,Gemeindestraße,Hofname,,123,automatisch
00984,Gantesweiler,Stadtwald,Gemeindestraße,"Person, Mann, Deutscher, Kruppscher Beamter, Siedlung",,123,automatisch
00985,Gareisstraße,Schonnebeck,Gemeindestraße,"Person, Mann, Deutscher, Politiker",,123,automatisch
00986,Garnbleiche,Schonnebeck,Gemeindestraße,Industrie und Wirtschaft,,123,automatisch
01031,Gartbecke,Horst,Gemeindestraße,Flurname,,123,automatisch
00987,Gartenkamp,Stoppenberg,Gemeindestraße,Flurname,,123,automatisch
00988,Gartenstiege,Schonnebeck,Gemeindestraße,Siedlung,,123,automatisch
03659,Gartenstraße,Kettwig,Gemeindestraße,Lagebezeichnung,,124,automatisch
00990,Gasstraße,Kupferdreh,Gemeindestraße,Lagebezeichnung,,124,automatisch
00991,Gathergang,Heisingen,Gemeindestraße,"Person, Mann, Deutscher, Landwirt",,124,automatisch
00992,Gattfeld,Horst,Gemeindestraße,Flurname,,124,automatisch
00993,Gaußstraße,Altendorf,Gemeindestraße,"Person, Mann, Deutscher, Mathematiker, Astronom, Geodät, Physiker",,124,automatisch
00994,Gebhardtstraße,Holsterhausen,Gemeindestraße,"Person, Mann, Deutscher, Maler, Malerviertel-Holsterhausen",,124,automatisch
00996,Gedingeweg,Kray,Gemeindestraße,Bergbau,,124,automatisch
00997,Gehrberg,Huttrop,Gemeindestraße,Flurname,,124,automatisch
00998,Geibelstraße,Südviertel,Gemeindestraße,"Person, Mann, Deutscher, Schriftsteller, Lyriker, Dichter",,124,automatisch
00999,Geilinghausweg,Heidhausen,Gemeindestraße,Hofname,,124,automatisch
01000,Geisbergstraße,Südostviertel,Gemeindestraße,Kriegserinnerung,,124,automatisch
01118,Geismarweg,Heisingen,Gemeindestraße,"Person, Mann, Deutscher, Abt",Zölestinstraße,124,automatisch
01001,Geißlerstraße,Altendorf,Gemeindestraße,"Person, Mann, Deutscher, Physiker, Erfinder",,125,automatisch
01002,Geitlingstraße,Stadtwald,Gemeindestraße,Bergbau,,125,automatisch
03661,Gellertweg,Kettwig,Gemeindestraße,"Person, Mann, Deutscher, Schriftsteller, Dichter",,125,automatisch
01003,Gelsenholz,Katernberg,Gemeindestraße,Flurname,,125,automatisch
01004,Gelsenkirchener Straße,Katernberg; Schonnebeck; Stoppenberg,Kreisstraße; Landstraße,Stadt und Ort,,125,automatisch
01005,Gemarkenplatz,Holsterhausen,Kreisstraße,"Lagebezeichnung, Platz",Gemarkenstraße,125,automatisch
01006,Gemarkenstraße,Holsterhausen,Gemeindestraße,Lagebezeichnung,,125,automatisch
01007,Gemperwiese,Karnap,Gemeindestraße,Flurname,,125,automatisch
01008,Genossenschaftsplatz,Frohnhausen,Gemeindestraße; _,"Industrie und Wirtschaft, Platz",,125,automatisch
03289,Gentweg,Bochold,Gemeindestraße,Stadt und Ort,,125,automatisch
01009,Georg-Baur-Ring,Bredeney,Gemeindestraße,"Person, Mann, Deutscher, Bauingenieur, Kruppscher Beamter",,125,automatisch
01010,Georgkirchstraße,Heisingen,Gemeindestraße,Kirche und Kloster,,125,automatisch
01011,Gerhard-Küchen-Straße,Stoppenberg,Gemeindestraße,"Person, Mann, Deutscher, Industrieller, Siedlung",,126,unsicher
01880,Gerhard-Marquardt-Platz,Altendorf,Gemeindestraße,"Person, Mann, Deutscher, Platz",,126,automatisch
00566,Gerhard-Stötzel-Straße,Südostviertel; Huttrop,Gemeindestraße,"Person, Mann, Deutscher, Politiker",,126,automatisch
01012,Gerhardstraße,Schonnebeck,Gemeindestraße,"Person, Mann, Deutscher, Männlicher Vorname",,126,automatisch
03660,Gerhart-Hauptmann-Straße,Kettwig,Gemeindestraße,"Person, Mann, Deutscher, Dramatiker, Schriftsteller",,126,automatisch
01013,Gerichtsstraße,Borbeck-Mitte,Gemeindestraße,Essener Geschichte und Örtlichkeit,,126,automatisch
01014,Gerlachfeld,Freisenbruch,Gemeindestraße,Hofname,,126,automatisch
01015,Gerlingplatz,Ostviertel,Gemeindestraße,"Essener Geschichte und Ortlichkeit, Platz, (nicht amtlich): Gerlingswiese",,127,unsicher
01016,Gerlingstraße,Ostviertel,Landstraße,Essener Geschichte und Ortlichkeit,Gerlingplatz,127,automatisch
01017,Germaniaplatz,Borbeck-Mitte,Gemeindestraße,"Essener Geschichte und Örtlichkeit, Platz",,127,automatisch
01018,Germaniastraße,Bochold; Borbeck-Mitte,Kreisstraße; Gemeindestraße,Essener Geschichte und Örtlichkeit,Germaniaplatz,127,automatisch
01019,Gerscheder Straße,Gerschede,Gemeindestraße,Bauerschaft,,127,unsicher
01038,Gerscheder Weiden,Gerschede,Gemeindestraße,Botanik,,127,automatisch
01020,Gerschermannweg,Bedingrade; Gerschede,Gemeindestraße,Hofname,,127,automatisch
01021,Gerstekamp,Katernberg,Gemeindestraße,Flurname,,127,automatisch
01022,Gerswidastraße,Stadtkern,Gemeindestraße,"Person, Frau, Deutsche, Äbtissin, Essener Geschichte und Örtlichkeit",,127,automatisch
01023,Gertrudisstraße,Nordviertel,Gemeindestraße,"Person, Frau, Deutsche, Äbtissin, Essener Geschichte und Örtlichkeit",,127,automatisch
00961,Gervinusplatz,Frohhausen,Gemeindestraße,"Person, Mann, Deutscher, Historiker, Politiker, Platz",Gervinusstraße,128,automatisch
01024,Gervinusstraße,Frohnhausen,Gemeindestraße,"Person, Mann, Deutscher, Historiker, Politiker",,128,automatisch
01123,Geschwister-Scholl-Straße,Horst,Gemeindestraße,"Person, Mann, Deutscher, Widerstandskämpfer",,128,automatisch
00575,Gewalterberg,Überruhr- Hinsel,Gemeindestraße,Bergbau,,128,automatisch
01026,Gewerbehofstraße,Holsterhausen,Gemeindestraße,Lagebezeichnung,,128,unsicher
01027,Gewerkenstraße,Altenessen- Nord,Gemeindestraße,Gewerkschaft,,128,automatisch
01611,Giebelplatz,Margarethenhöhe,Gemeindestraße,Platz,,128,automatisch
01028,Giesebrechtstraße,Frohnhausen,Gemeindestraße,"Person, Mann, Deutscher, Hochschullehrer, Historiker",,128,automatisch
01133,Gießereiweg,Altenessen- Süd,Gemeindestraße,Industrie und Wirtschaft,,128,automatisch
01030,Gildehofstraße,Stadtkern,Kreisstraße,Essener Geschichte und Ortlichkeit,,128,automatisch
01075,Gillesweg,Kupferdreh,Gemeindestraße,Bergbau,,129,automatisch
01032,Gillhausenstraße,Bredeney,Gemeindestraße,"Person, Mann, Deutscher, Bauingenieur, Industriemanager, Politiker",,129,automatisch
01033,Gimkenstraße,Schönebeck,Gemeindestraße,Hofname,,129,automatisch
01034,Ginsterweg,Margarethenhöhe,Gemeindestraße,Botanik,,129,automatisch
01119,Girardetstraße,Rüttenscheid,Gemeindestraße,"Person, Mann, Deutscher, Buchbinder, Buchdrucker, Verleger, Unternehmer",,129,automatisch
01035,Girondellenstraße,Stadtwald,Gemeindestraße,Bergbau,,129,automatisch
01036,Giselastraße,Rüttenscheid,Gemeindestraße,Weiblicher Vorname,,130,automatisch
01037,Gladbecker Straße,Stadtkern; Nordviertel; Altenessen-Süd; Altenessen- Nord; Vogelheim; Karnap,Bundesstraße; Hauptstraße,Stadt und Ort,,130,unsicher
01039,Glashüttenstraße,Ostviertel,Gemeindestraße,Industrie und Wirtschaft,,130,automatisch
01040,Gleisdreieck,Frillendorf,Gemeindestraße,Lagebezeichnung,,130,automatisch
01041,Gleisstraße,Dellwig,Gemeindestraße,Lagebezeichnung,,130,automatisch
01042,Glockenstraße,Frintrop,Gemeindestraße,Essener Geschichte und Ortlichkeit,,130,automatisch
01043,Glückaufstraße,Stoppenberg,Gemeindestraße,Bergbau,,130,automatisch
01044,Glückstraße,Ostviertel,Gemeindestraße,Lebensgefühl,,130,automatisch
01045,Glühstraße,Borbeck- Mitte,Gemeindestraße,Industrie und Wirtschaft,,130,automatisch
01046,Gneisenaustraße,Altenessen-Süd; Nordviertel,Gemeindestraße,"Person, Mann, Deutscher, General, Kriegserinnerung",,130,automatisch
01047,Gockelweg,Haarzopf,Gemeindestraße,Zoologie,Reineke-Fuchs-Straße,130,automatisch
01048,Godertwende,Katernberg,Gemeindestraße,Männlicher Vorname,,130,automatisch
01049,Goebenstraße,Südostviertel,Gemeindestraße,"Person, Mann, Deutscher, General, Kriegserinnerung",,130,automatisch
01050,Gönterstraße,Bergerhausen,Gemeindestraße,Gemeinheit,,131,automatisch
